""	"SRR7170030"	"SRR7170031"	"SRR7170032"	"SRR7170033"	"SRR7170034"	"SRR7170035"
"Gm52506"	0	0	0	0	0	0
"Gm52507"	1	7	6	16	0	2
"Gm52508"	0	0	0	0	0	0
"Gm52509"	0	0	0	0	0	0
"Gm52511"	0	8	0	0	0	0
"Gm52512"	0	0	0	0	0	0
"Gm52513"	0	0	0	0	0	0
"Gm52514"	0	0	0	0	0	0
"Gm52515"	0	7	4	3	1	0
"Gm52518"	0	0	0	0	0	0
"Gm52519"	0	0	0	0	0	0
"Gm52520"	0	0	0	0	0	0
"Gm52521"	0	0	0	0	0	0
"Gm52522"	0	0	0	0	0	0
"Gm52523"	3	4	4	4	2	2
"Gm52524"	0	4	0	11	14	23
"Gm52525"	0	0	0	0	0	0
"Gm52526"	0	11	8	10	5	0
"Gm52527"	0	0	0	0	0	0
"Gm52528"	0	0	1	0	0	2
"Gm52529"	10	0	0	1	0	0
"Gm52530"	0	0	0	0	0	0
"Gm52531"	0	0	0	0	0	0
"Gm52532"	0	0	0	0	0	0
"Gm52533"	0	0	0	0	0	0
"Gm52534"	0	0	0	0	0	0
"Gm52536"	0	0	0	0	0	0
"Gm52537"	0	0	0	0	0	0
"Gm52538"	0	0	0	0	0	0
"Gm52539"	0	0	0	0	0	0
"Gm52540"	0	0	2	0	0	0
"Gm52543"	0	0	0	0	0	0
"Gm52546"	0	0	0	0	0	0
"Gm52547"	17	6	7	4	0	2
"Gm52548"	0	0	0	0	0	0
"Gm52550"	0	0	0	0	0	0
"Gm52551"	0	0	0	0	0	0
"Gm52552"	0	0	0	0	0	0
"Gm52553"	0	0	0	0	0	0
"Gm52554"	0	0	0	0	0	0
"Gm52555"	0	0	0	0	0	0
"Gm52556"	0	0	0	0	0	0
"Gm52558"	0	0	0	0	0	0
"Gm52560"	0	0	0	0	0	0
"Gm52561"	0	0	0	0	0	0
"Gm52562"	1	3	2	4	2	1
"Gm52564"	1	0	0	0	1	1
"Gm52565"	0	0	0	0	0	0
"Gm52566"	0	0	0	0	0	0
"Gm52568"	0	0	0	3	0	0
"Gm52569"	0	0	0	0	0	0
"Gm52570"	3	1	1	1	5	9
"Gm52571"	0	0	0	1	0	0
"Gm52572"	0	0	0	0	0	0
"Gm52573"	0	0	0	0	0	0
"Gm52574"	0	0	0	0	0	0
"Gm52576"	0	0	0	0	2	0
"Gm52577"	0	0	0	0	0	0
"Gm5258"	0	0	0	0	0	0
"Gm52598"	7	0	0	0	1	3
"Gm52599"	0	4	1	11	0	9
"Gm52600"	0	0	0	0	0	0
"Gm52601"	0	0	0	0	1	0
"Gm52602"	0	0	0	0	0	0
"Gm52603"	21	3	3	0	0	11
"Gm52604"	1	0	3	0	0	0
"Gm52607"	0	0	0	0	0	1
"Gm52608"	0	0	0	0	0	0
"Gm52609"	0	0	0	0	0	0
"Gm52611"	0	0	0	0	0	0
"Gm52613"	0	0	0	0	0	0
"Gm52614"	0	0	0	2	0	0
"Gm52615"	0	0	0	0	0	0
"Gm52616"	0	0	0	0	0	0
"Gm52617"	0	0	0	0	0	0
"Gm52618"	0	0	0	0	0	0
"Gm52620"	0	0	0	0	0	0
"Gm52621"	0	0	0	0	0	0
"Gm52623"	0	0	0	0	0	0
"Gm52625"	0	0	0	0	0	0
"Gm52626"	0	0	0	2	0	7
"Gm52628"	0	0	0	0	0	0
"Gm52629"	6	2	0	26	17	13
"Gm52630"	0	0	0	0	0	0
"Gm52631"	0	4	14	18	13	6
"Gm52633"	0	0	0	0	0	0
"Gm52634"	0	0	16	0	0	0
"Gm52635"	0	0	0	0	0	0
"Gm52636"	0	0	0	0	0	0
"Gm52637"	0	0	0	0	0	0
"Gm52639"	0	0	0	0	0	0
"Gm52666"	0	0	0	0	0	0
"Gm52667"	0	3	48	7	3	7
"Gm52668"	0	2	3	16	15	12
"Gm52669"	24	32	61	23	24	15
"Gm52670"	0	0	0	0	0	0
"Gm52672"	0	0	0	0	0	0
"Gm52673"	0	0	0	0	0	0
"Gm52674"	0	0	0	0	0	0
"Gm52675"	0	0	0	0	0	0
"Gm52676"	0	0	0	0	0	0
"Gm52677"	0	0	0	17	0	0
"Gm52678"	0	0	0	2	0	0
"Gm52679"	0	0	3	1	0	9
"Gm52680"	0	0	0	0	0	0
"Gm52681"	23	14	10	28	35	28
"Gm52682"	0	0	0	0	0	0
"Gm52683"	0	0	0	0	0	0
"Gm52684"	0	0	0	0	0	0
"Gm52685"	0	0	0	0	0	0
"Gm52686"	0	0	0	0	0	0
"Gm52687"	0	2	1	7	0	0
"Gm52688"	0	0	0	0	0	0
"Gm52689"	0	0	0	0	0	0
"Gm52691"	0	11	6	0	0	0
"Gm52692"	7	5	1	1	3	13
"Gm52694"	0	0	0	0	0	0
"Gm52697"	0	0	0	0	0	0
"Gm52698"	0	1	3	0	0	0
"Gm52699"	0	0	0	0	0	0
"Gm527"	58	40	11	44	23	49
"Gm52700"	0	0	0	0	0	0
"Gm52702"	0	1	0	0	0	8
"Gm52703"	0	0	0	0	0	0
"Gm52704"	1	17	19	2	11	22
"Gm52705"	0	1	1	0	0	0
"Gm52706"	4	3	0	1	0	0
"Gm52707"	0	0	0	0	0	0
"Gm52708"	0	0	0	0	0	0
"Gm52709"	0	3	3	0	15	0
"Gm52710"	0	0	0	2	0	1
"Gm52711"	0	0	0	0	0	0
"Gm52712"	0	0	0	0	0	0
"Gm52713"	0	0	0	0	0	0
"Gm52714"	0	0	0	0	0	0
"Gm52715"	0	0	0	0	0	0
"Gm52716"	3	0	0	0	0	0
"Gm52718"	0	0	0	0	0	0
"Gm52719"	8	0	0	0	0	0
"Gm52720"	0	0	0	3	2	3
"Gm52721"	0	0	0	0	0	0
"Gm52723"	0	0	0	0	1	0
"Gm52724"	0	1	3	0	0	0
"Gm52725"	0	0	0	0	0	0
"Gm52726"	0	0	0	0	0	0
"Gm52727"	0	0	0	0	0	0
"Gm52729"	0	0	0	0	0	0
"Gm52731"	8	6	1	0	0	0
"Gm52732"	0	0	0	0	0	0
"Gm52733"	0	0	2	0	0	0
"Gm52734"	0	0	0	0	0	0
"Gm52735"	0	0	0	0	0	0
"Gm52736"	0	6	0	0	1	0
"Gm52738"	0	0	1	0	0	0
"Gm52739"	0	0	0	0	0	0
"Gm52740"	0	0	0	0	0	0
"Gm52741"	0	1	8	0	0	0
"Gm52742"	0	0	0	0	0	0
"Gm52743"	0	0	0	0	2	0
"Gm52763"	0	0	0	0	0	0
"Gm52764"	0	0	0	0	3	0
"Gm52766"	0	0	0	0	0	0
"Gm52767"	0	0	0	0	4	1
"Gm52770"	0	0	0	0	0	0
"Gm52771"	0	7	0	0	0	0
"Gm52772"	0	0	0	0	0	0
"Gm52775"	0	0	2	12	0	0
"Gm52777"	0	0	0	0	0	0
"Gm52778"	0	0	0	0	0	0
"Gm52779"	0	0	0	0	0	0
"Gm52780"	0	6	11	0	0	0
"Gm52781"	0	0	0	0	1	0
"Gm52783"	0	0	0	1	0	3
"Gm52785"	1	1	1	1	0	2
"Gm52786"	0	0	0	0	0	0
"Gm52788"	0	0	0	0	0	0
"Gm52789"	0	0	0	1	0	1
"Gm52790"	0	0	0	0	0	0
"Gm52791"	1	3	0	2	1	0
"Gm52792"	0	0	0	0	0	0
"Gm52793"	0	0	0	0	0	0
"Gm52794"	32	6	1	13	14	12
"Gm52797"	0	0	0	0	0	0
"Gm52798"	0	0	0	0	0	0
"Gm52800"	0	0	0	0	0	0
"Gm52802"	0	0	0	0	1	0
"Gm52803"	0	0	0	0	0	0
"Gm52804"	0	0	0	0	0	0
"Gm52805"	0	0	0	0	0	0
"Gm52806"	0	16	15	10	2	8
"Gm52807"	0	0	0	0	0	0
"Gm52808"	0	0	0	0	0	0
"Gm52810"	0	0	0	1	6	0
"Gm52811"	0	0	0	0	0	0
"Gm52812"	0	0	0	0	0	0
"Gm52813"	0	0	0	0	0	0
"Gm52815"	0	0	0	0	0	0
"Gm52816"	0	0	4	0	0	0
"Gm52817"	2	29	5	0	0	14
"Gm52818"	0	0	7	3	1	0
"Gm52819"	0	0	0	0	0	0
"Gm52820"	0	0	0	0	0	0
"Gm52821"	0	0	0	0	0	0
"Gm52822"	2	0	0	0	0	0
"Gm52823"	0	0	0	0	0	0
"Gm52824"	1	9	0	0	1	3
"Gm52826"	2	0	0	0	0	0
"Gm52827"	0	0	0	0	0	0
"Gm52828"	0	0	3	4	2	2
"Gm52829"	0	0	0	0	0	0
"Gm52830"	0	0	0	0	0	0
"Gm52831"	0	0	0	0	0	0
"Gm52832"	0	0	0	0	0	0
"Gm52833"	0	0	0	0	0	0
"Gm52834"	0	2	0	0	0	0
"Gm52857"	0	0	0	0	0	0
"Gm52858"	0	0	0	0	0	0
"Gm52859"	0	0	0	0	0	0
"Gm52860"	0	1	1	3	0	0
"Gm52861"	0	1	0	0	0	0
"Gm52863"	0	0	0	0	0	0
"Gm52864"	0	0	0	0	0	0
"Gm52865"	0	0	0	0	0	0
"Gm52866"	0	0	0	0	0	0
"Gm52869"	0	0	0	0	0	0
"Gm52870"	22	35	57	0	4	5
"Gm52871"	0	0	0	0	0	0
"Gm52872"	0	0	2	1	8	1
"Gm52873"	0	0	0	0	0	0
"Gm52874"	0	0	0	0	0	0
"Gm52875"	1	2	4	14	7	11
"Gm52877"	0	0	0	0	0	0
"Gm52878"	4	0	6	2	0	6
"Gm52879"	4	5	0	4	0	0
"Gm52881"	0	0	0	0	0	0
"Gm52885"	0	0	3	0	0	0
"Gm52886"	0	0	0	0	2	0
"Gm52888"	0	0	0	0	0	0
"Gm52889"	2	0	7	3	0	5
"Gm52890"	0	0	0	0	0	0
"Gm52892"	0	0	0	0	0	0
"Gm52893"	0	0	0	0	0	0
"Gm52895"	0	0	0	0	0	0
"Gm52896"	0	0	0	0	0	0
"Gm52897"	0	0	0	0	0	0
"Gm52898"	0	0	0	0	0	0
"Gm52899"	5	11	1	11	19	8
"Gm52900"	0	0	0	0	0	0
"Gm52901"	0	0	0	0	3	1
"Gm52902"	0	0	0	0	0	0
"Gm52903"	0	0	0	0	0	0
"Gm52904"	0	1	17	0	0	0
"Gm52906"	0	0	0	0	0	0
"Gm52907"	13	17	27	17	7	47
"Gm52910"	0	0	0	0	27	0
"Gm52912"	0	1	4	0	0	1
"Gm52913"	0	0	0	0	0	0
"Gm52915"	0	0	0	0	0	0
"Gm52916"	0	0	0	0	0	0
"Gm52917"	0	0	0	0	0	0
"Gm52918"	4	0	0	0	0	0
"Gm52919"	0	0	0	10	0	0
"Gm52920"	12	5	5	5	0	19
"Gm52922"	0	0	0	0	0	0
"Gm52923"	0	0	0	0	0	0
"Gm52924"	0	0	0	0	0	0
"Gm52926"	0	0	0	0	0	0
"Gm5296"	0	1	1	1	0	2
"Gm52989"	0	0	0	0	0	0
"Gm53"	0	0	0	0	0	0
"Gm53042"	0	0	0	0	0	0
"Gm53051"	0	0	0	0	0	0
"Gm53053"	0	0	0	0	0	0
"Gm53055"	0	0	0	0	0	0
"Gm53057"	0	0	0	0	0	0
"Gm53058"	2	8	7	3	5	18
"Gm53059"	1	0	1	0	0	0
"Gm53062"	0	0	0	0	0	0
"Gm53063"	0	0	0	0	0	0
"Gm53065"	0	0	0	0	0	0
"Gm53066"	0	0	0	0	0	0
"Gm53067"	0	2	2	0	0	0
"Gm5316"	0	0	0	0	0	0
"Gm53172"	0	0	0	0	0	0
"Gm53173"	0	0	0	0	0	0
"Gm53174"	0	0	0	0	0	0
"Gm53176"	0	0	0	0	0	0
"Gm53177"	0	0	0	0	0	0
"Gm53178"	0	0	0	0	0	0
"Gm53180"	0	0	0	0	0	0
"Gm53181"	0	0	0	0	0	0
"Gm53182"	0	0	0	0	0	0
"Gm53183"	5	11	14	7	5	16
"Gm53184"	0	0	0	0	0	0
"Gm53187"	0	0	0	0	0	0
"Gm53188"	0	0	0	0	0	0
"Gm53190"	0	0	0	0	0	0
"Gm53191"	15	9	11	8	8	7
"Gm53194"	0	9	5	66	30	3
"Gm53195"	0	0	0	0	0	1
"Gm53196"	0	0	0	0	0	0
"Gm53197"	0	0	0	1	0	0
"Gm53198"	0	0	0	0	0	0
"Gm53199"	0	0	1	0	0	0
"Gm53200"	0	0	0	0	0	0
"Gm53201"	0	0	0	0	0	0
"Gm53202"	0	0	0	0	0	0
"Gm53203"	0	0	0	0	0	0
"Gm53204"	0	16	17	27	16	3
"Gm53205"	0	1	0	0	0	1
"Gm53206"	0	0	0	0	0	0
"Gm53207"	0	0	0	0	0	0
"Gm53208"	0	0	0	0	0	0
"Gm53209"	0	0	0	0	0	0
"Gm53210"	1	0	4	1	2	5
"Gm53211"	0	0	0	0	0	0
"Gm53213"	0	6	0	2	0	13
"Gm53214"	0	0	0	0	0	0
"Gm53215"	3	0	3	0	0	0
"Gm53216"	0	0	0	0	0	0
"Gm53217"	0	0	0	0	0	0
"Gm53221"	0	0	0	0	0	0
"Gm53222"	0	0	0	0	0	2
"Gm53223"	1	4	4	0	0	13
"Gm53224"	0	0	0	0	0	0
"Gm53227"	0	0	0	0	0	0
"Gm53228"	1	11	3	0	0	0
"Gm53229"	0	0	0	0	0	0
"Gm53232"	0	0	0	0	0	0
"Gm53233"	0	0	0	0	0	0
"Gm53234"	18	4	4	22	2	15
"Gm53236"	0	0	0	0	0	0
"Gm53237"	0	0	0	0	0	0
"Gm53238"	6	11	8	8	0	0
"Gm53240"	0	0	0	0	0	0
"Gm53242"	0	0	0	0	0	0
"Gm53243"	0	0	0	0	0	0
"Gm53244"	0	0	0	0	0	0
"Gm53245"	0	0	0	0	0	1
"Gm53246"	0	0	2	0	0	0
"Gm53247"	0	0	0	0	0	0
"Gm53248"	0	1	0	0	0	0
"Gm53249"	23	7	29	42	6	14
"Gm53251"	0	1	4	0	0	0
"Gm53253"	0	0	0	0	0	0
"Gm53255"	0	0	13	13	0	0
"Gm53256"	6	0	12	0	0	0
"Gm53257"	0	0	0	0	0	0
"Gm53258"	1	18	14	39	23	35
"Gm53259"	0	5	0	0	0	0
"Gm53260"	0	2	1	0	0	1
"Gm53261"	0	0	0	0	0	0
"Gm53264"	15	12	16	9	6	10
"Gm53265"	2	2	0	0	1	2
"Gm53266"	0	0	1	0	0	0
"Gm53268"	26	35	51	36	20	28
"Gm53269"	7	2	2	10	2	16
"Gm53270"	0	0	0	0	0	0
"Gm53271"	0	0	0	0	0	1
"Gm53273"	0	0	0	0	0	0
"Gm53275"	0	0	0	0	0	0
"Gm53277"	11	0	2	0	0	0
"Gm53278"	0	0	1	2	0	2
"Gm53279"	0	1	18	4	8	1
"Gm53280"	0	0	0	0	0	0
"Gm53281"	0	0	0	0	0	0
"Gm53282"	2	1	6	0	0	0
"Gm53283"	73	40	95	90	81	36
"Gm53284"	4	9	6	10	27	7
"Gm53285"	0	0	0	0	3	0
"Gm53286"	0	0	0	0	0	0
"Gm53287"	0	1	9	14	17	17
"Gm53288"	1	0	0	1	0	2
"Gm53289"	0	0	0	0	0	0
"Gm5329"	0	0	0	0	0	0
"Gm53290"	3	1	0	0	6	0
"Gm53291"	0	0	0	0	0	0
"Gm53292"	0	0	0	0	1	0
"Gm53293"	0	0	1	0	1	0
"Gm53294"	0	0	0	0	0	0
"Gm53295"	0	0	0	0	0	0
"Gm53296"	0	0	0	0	0	0
"Gm53297"	5	0	0	0	15	0
"Gm53298"	0	0	0	0	0	0
"Gm53299"	0	0	14	5	3	7
"Gm53300"	0	0	0	0	0	0
"Gm53301"	0	0	0	0	0	0
"Gm53302"	0	0	0	0	0	0
"Gm53303"	0	0	0	0	0	0
"Gm53304"	0	0	0	0	0	0
"Gm53305"	0	0	0	0	0	0
"Gm53306"	0	0	0	0	0	0
"Gm53307"	0	0	0	0	0	0
"Gm53308"	0	0	0	0	0	0
"Gm53309"	0	0	0	0	0	0
"Gm53310"	1	0	3	0	8	0
"Gm53311"	0	1	0	0	1	0
"Gm53312"	0	0	0	0	0	0
"Gm53313"	0	0	0	0	0	0
"Gm53314"	0	0	0	0	0	0
"Gm53315"	0	0	0	0	0	0
"Gm53316"	0	0	0	0	0	0
"Gm53317"	0	0	0	0	7	0
"Gm53318"	0	0	0	0	0	0
"Gm53319"	0	0	0	0	0	0
"Gm53320"	0	0	0	0	0	0
"Gm53321"	0	0	0	0	0	0
"Gm53322"	0	0	2	10	0	10
"Gm53325"	0	0	0	2	0	0
"Gm53326"	0	0	0	0	0	0
"Gm53327"	0	0	0	0	3	0
"Gm53328"	0	0	0	0	0	0
"Gm53329"	0	0	0	0	0	0
"Gm53330"	0	0	0	0	0	0
"Gm53331"	3	4	1	2	3	9
"Gm53332"	0	0	0	0	0	0
"Gm53334"	0	0	0	0	0	0
"Gm53335"	0	0	0	0	0	0
"Gm53336"	0	0	0	0	0	0
"Gm53337"	0	0	0	0	0	0
"Gm53338"	0	0	0	0	0	0
"Gm53339"	1	15	2	0	0	0
"Gm5334"	0	0	0	0	0	0
"Gm53340"	0	0	0	0	0	0
"Gm53341"	5	1	35	15	0	9
"Gm53342"	0	0	0	0	0	0
"Gm53343"	8	5	0	0	1	0
"Gm53344"	0	0	0	0	0	0
"Gm53345"	0	0	0	0	0	0
"Gm53346"	0	0	0	0	0	4
"Gm53347"	8	12	5	9	0	3
"Gm53348"	1	0	1	0	0	0
"Gm53349"	3	0	0	0	0	0
"Gm53350"	0	0	0	0	0	0
"Gm53351"	0	0	0	0	0	0
"Gm53352"	0	0	0	0	0	0
"Gm53353"	0	0	0	0	0	0
"Gm53354"	0	0	0	0	0	0
"Gm53355"	0	0	0	4	0	0
"Gm53356"	0	0	0	0	0	0
"Gm53357"	1	0	0	0	0	0
"Gm53358"	17	0	3	0	0	0
"Gm53359"	0	0	0	0	0	0
"Gm53360"	0	0	0	0	0	0
"Gm53361"	0	0	0	0	0	0
"Gm53365"	4	0	10	1	11	6
"Gm53366"	0	0	0	0	0	0
"Gm53367"	0	0	0	0	0	0
"Gm53368"	0	0	0	0	0	0
"Gm53369"	0	0	0	0	0	0
"Gm53370"	0	0	0	0	0	0
"Gm53371"	0	0	0	0	0	0
"Gm53372"	0	0	0	0	0	0
"Gm53373"	0	0	3	0	0	0
"Gm53374"	34	29	37	27	14	37
"Gm53375"	1	0	0	0	25	7
"Gm53376"	0	0	0	0	0	0
"Gm53377"	0	0	0	0	0	0
"Gm53378"	0	0	0	0	0	0
"Gm53379"	0	0	0	0	0	0
"Gm53380"	0	0	0	0	0	0
"Gm53381"	0	0	0	0	0	1
"Gm53382"	0	0	0	0	0	0
"Gm53383"	0	0	0	0	0	0
"Gm53384"	0	0	0	0	0	0
"Gm53385"	4	2	3	0	1	5
"Gm53386"	3	5	0	0	0	0
"Gm53387"	0	0	1	1	0	2
"Gm53388"	0	0	0	0	0	0
"Gm53389"	0	0	0	0	0	0
"Gm53390"	0	0	0	0	0	0
"Gm53391"	0	0	0	17	0	1
"Gm53392"	0	0	0	0	0	0
"Gm53393"	0	0	0	0	0	0
"Gm53395"	0	0	0	0	0	0
"Gm53396"	0	0	0	0	0	0
"Gm53397"	0	0	0	0	0	0
"Gm53398"	0	0	0	0	0	0
"Gm53399"	0	7	0	1	2	2
"Gm534"	0	0	0	0	0	0
"Gm53400"	0	0	0	0	0	0
"Gm53401"	0	0	0	3	0	0
"Gm53402"	0	0	0	0	0	0
"Gm53403"	0	0	0	0	0	0
"Gm53404"	0	0	0	0	0	0
"Gm53405"	2	0	0	0	0	0
"Gm53406"	3	4	15	1	2	5
"Gm53407"	0	0	0	0	0	0
"Gm53408"	0	0	0	0	0	0
"Gm53409"	0	0	0	0	0	0
"Gm53410"	0	0	0	0	0	0
"Gm53411"	0	0	0	0	0	0
"Gm53412"	0	0	0	0	0	0
"Gm53413"	0	0	0	0	6	0
"Gm53414"	0	0	0	0	0	0
"Gm53415"	0	0	0	0	0	0
"Gm53416"	0	0	0	0	0	0
"Gm53417"	0	0	0	0	0	0
"Gm53418"	0	0	0	0	0	0
"Gm53421"	0	0	0	0	0	0
"Gm53424"	0	0	0	0	0	0
"Gm53426"	0	0	0	0	0	0
"Gm53427"	0	0	0	0	0	0
"Gm53428"	0	0	0	0	0	0
"Gm53430"	0	0	0	0	0	0
"Gm53432"	0	0	0	0	0	0
"Gm53433"	0	0	0	0	0	0
"Gm53434"	0	0	0	0	0	0
"Gm53435"	0	0	0	0	0	1
"Gm53436"	0	0	0	0	0	0
"Gm53437"	0	0	0	0	0	1
"Gm53438"	0	2	0	0	0	0
"Gm53440"	0	0	0	0	0	0
"Gm53441"	0	0	0	0	0	0
"Gm53442"	0	0	5	0	0	0
"Gm53443"	0	0	0	0	0	0
"Gm53444"	0	0	0	0	0	7
"Gm53445"	1	0	0	13	0	0
"Gm53446"	0	0	0	0	0	0
"Gm53447"	6	9	2	0	0	0
"Gm53448"	0	0	0	0	0	0
"Gm53449"	0	0	0	0	0	0
"Gm53450"	0	0	0	0	0	0
"Gm53451"	11	8	8	0	0	6
"Gm53452"	0	0	0	0	0	0
"Gm53453"	0	10	29	8	4	9
"Gm53454"	0	0	0	0	0	0
"Gm53455"	0	1	1	4	5	2
"Gm53456"	0	0	0	0	0	0
"Gm53457"	0	1	3	0	0	0
"Gm53458"	0	0	0	0	0	0
"Gm53459"	0	0	0	0	0	0
"Gm53460"	0	0	0	0	0	0
"Gm53461"	0	0	1	0	0	0
"Gm53462"	1	0	0	0	0	0
"Gm53463"	0	0	0	0	4	0
"Gm53464"	6	0	1	2	0	0
"Gm53465"	0	0	0	0	0	0
"Gm53466"	7	0	10	3	0	2
"Gm53467"	0	0	0	0	0	0
"Gm53468"	0	0	0	0	0	0
"Gm53469"	0	0	5	13	0	0
"Gm5347"	0	1	0	0	0	0
"Gm53470"	0	0	0	0	0	0
"Gm53471"	0	6	4	0	0	3
"Gm53472"	0	0	0	0	0	0
"Gm53473"	0	0	0	0	0	0
"Gm53474"	0	0	0	0	0	0
"Gm53475"	14	10	0	0	6	2
"Gm53476"	0	0	1	0	1	5
"Gm53477"	0	0	1	2	0	0
"Gm53478"	0	0	6	0	0	0
"Gm53479"	0	0	0	0	0	0
"Gm53480"	0	0	0	0	0	0
"Gm53481"	3	7	2	0	0	1
"Gm53482"	0	0	0	0	0	0
"Gm53483"	0	0	0	0	0	0
"Gm53484"	0	0	0	0	0	0
"Gm53485"	0	0	0	0	0	0
"Gm53486"	0	0	0	0	0	0
"Gm53487"	0	0	1	0	0	0
"Gm53488"	0	3	0	0	3	0
"Gm53489"	0	0	3	0	1	0
"Gm53491"	0	21	5	66	31	5
"Gm53492"	0	0	0	0	0	0
"Gm53493"	0	1	1	0	1	0
"Gm53494"	26	13	8	14	8	11
"Gm53495"	0	0	0	0	0	0
"Gm53496"	0	0	0	0	0	0
"Gm53497"	0	0	3	0	0	0
"Gm53498"	0	0	0	3	0	0
"Gm53499"	0	0	0	0	0	0
"Gm53500"	0	0	0	0	0	0
"Gm53501"	0	0	0	0	0	0
"Gm53502"	0	0	0	0	0	2
"Gm53503"	0	0	0	0	0	0
"Gm53504"	0	0	0	0	0	0
"Gm53505"	0	0	0	0	0	0
"Gm53506"	0	0	0	0	1	0
"Gm53507"	0	0	0	1	0	0
"Gm53508"	0	0	0	0	0	0
"Gm53509"	0	0	0	0	0	1
"Gm53510"	0	0	0	0	0	0
"Gm53511"	0	0	0	0	0	0
"Gm53512"	4	4	4	1	0	3
"Gm53513"	0	0	0	0	0	0
"Gm53514"	0	10	0	0	6	8
"Gm53515"	0	0	1	0	0	0
"Gm53516"	0	0	0	0	0	0
"Gm53517"	0	0	0	0	0	0
"Gm53518"	0	2	0	0	0	0
"Gm53519"	1	1	0	0	0	0
"Gm53520"	0	0	0	0	0	0
"Gm53521"	0	0	0	0	0	0
"Gm53522"	0	0	0	0	0	0
"Gm53523"	0	0	0	0	0	0
"Gm53524"	0	0	0	0	0	0
"Gm53525"	0	0	0	0	0	0
"Gm53526"	0	0	0	0	0	0
"Gm53527"	0	0	0	0	0	0
"Gm53528"	0	0	2	0	0	0
"Gm53529"	0	0	0	0	0	0
"Gm53530"	0	0	0	0	0	0
"Gm53531"	0	0	0	0	0	0
"Gm53532"	0	0	0	0	0	0
"Gm53533"	0	0	0	0	0	0
"Gm53534"	0	0	0	0	0	0
"Gm53535"	0	0	0	0	0	0
"Gm53536"	26	20	10	19	7	5
"Gm53537"	0	0	0	0	0	10
"Gm53538"	0	0	0	0	0	0
"Gm53539"	0	0	9	0	0	0
"Gm53540"	0	0	0	0	0	0
"Gm53541"	29	41	70	69	51	44
"Gm53542"	0	0	0	0	0	0
"Gm53543"	5	0	0	0	0	1
"Gm53544"	0	0	0	0	0	0
"Gm53546"	0	1	0	0	0	2
"Gm53547"	0	0	0	0	0	0
"Gm53548"	4	0	8	31	27	16
"Gm53549"	0	0	0	6	0	0
"Gm53550"	1	0	0	1	4	0
"Gm53551"	0	0	0	0	0	0
"Gm53552"	0	0	0	0	0	0
"Gm53553"	0	0	0	0	0	0
"Gm53554"	0	0	0	0	0	0
"Gm53555"	0	0	0	0	0	0
"Gm53556"	0	0	1	0	0	0
"Gm53557"	0	0	0	0	0	0
"Gm53558"	0	0	0	0	1	0
"Gm53559"	0	0	0	0	0	0
"Gm53560"	0	0	0	0	0	0
"Gm53561"	0	0	0	0	0	0
"Gm53562"	1	2	1	9	0	2
"Gm53563"	0	0	0	4	0	0
"Gm53564"	0	0	0	0	0	0
"Gm53565"	1	0	0	29	11	1
"Gm53566"	0	0	0	0	0	0
"Gm53567"	0	0	0	0	0	0
"Gm53568"	0	0	0	0	0	0
"Gm53569"	0	0	0	0	0	0
"Gm53570"	3	2	22	13	0	22
"Gm53571"	0	7	1	0	1	1
"Gm53572"	0	0	0	0	0	4
"Gm53573"	0	0	0	0	0	0
"Gm53574"	0	0	0	0	0	0
"Gm53575"	12	12	11	94	79	50
"Gm53576"	0	0	0	0	0	1
"Gm53577"	5	15	9	0	6	10
"Gm53578"	0	0	0	0	0	0
"Gm53580"	0	0	0	0	0	0
"Gm53581"	0	0	0	0	0	0
"Gm53582"	0	0	0	0	0	0
"Gm53584"	0	0	0	0	0	0
"Gm53585"	0	0	0	0	0	0
"Gm53588"	0	0	0	0	0	0
"Gm53590"	0	0	0	0	0	0
"Gm53591"	0	0	0	0	0	0
"Gm53592"	0	0	0	0	0	0
"Gm53593"	0	0	0	0	0	0
"Gm53594"	0	0	0	0	0	0
"Gm53595"	0	6	3	2	0	0
"Gm53596"	0	0	0	0	0	0
"Gm53597"	0	0	0	0	0	0
"Gm53598"	1	1	0	1	0	6
"Gm53599"	0	0	0	0	0	0
"Gm536"	0	0	0	0	0	0
"Gm53600"	0	0	0	0	0	0
"Gm53601"	0	0	0	0	0	0
"Gm53602"	0	0	0	0	0	0
"Gm53603"	0	0	0	0	0	0
"Gm53604"	5	1	1	0	2	1
"Gm53605"	0	0	0	0	0	0
"Gm53606"	0	0	0	0	0	0
"Gm53607"	0	1	6	7	10	0
"Gm53608"	0	0	0	0	0	0
"Gm53609"	0	0	2	0	0	0
"Gm53610"	1	0	0	34	6	4
"Gm53611"	0	0	0	0	0	0
"Gm53612"	0	0	0	0	0	0
"Gm53613"	0	0	10	2	10	0
"Gm53614"	0	0	0	0	0	0
"Gm53615"	0	0	0	0	0	0
"Gm53616"	0	10	0	0	0	0
"Gm53617"	0	0	0	0	0	0
"Gm53618"	0	0	0	0	0	0
"Gm53619"	0	0	0	0	0	0
"Gm53620"	0	0	0	0	0	0
"Gm53621"	1	4	13	1	4	15
"Gm53622"	0	0	0	0	0	0
"Gm53623"	0	0	0	0	0	0
"Gm53624"	0	21	0	0	0	0
"Gm53625"	0	0	0	0	0	0
"Gm53626"	0	0	0	13	0	47
"Gm53627"	0	0	0	0	0	0
"Gm53628"	0	0	0	0	0	0
"Gm53629"	0	0	0	0	0	0
